ward,subcounty,county,latitude,longitude
Kangeta Ward,Igembe Central Sub County,MERU,0.32908847302856653,37.8109658700527
Antuambui Ward,Igembe North Sub County,MERU,0.46124704326710886,37.8883382993649
Ntunene Ward,Igembe North Sub County,MERU,0.4395285431323506,37.836591500514054
Antubetwe kiongo Ward,Igembe North Sub County,MERU,0.33697569258479804,38.075173447076
Naathu Ward,Igembe North Sub County,MERU,0.5125366309773967,37.95483498265816
Amwathi Ward,Igembe North Sub County,MERU,0.485263740960271,38.056241040818264
Athwana Ward,Tigania West Sub County,MERU,0.3188041785617946,37.653861670752605
Akithii Ward,Tigania West Sub County,MERU,0.19678970502649237,37.74255089324158
Kianjai Ward,Tigania West Sub County,MERU,0.20055219153921597,37.690766597866634
Nkomo Ward,Tigania West Sub County,MERU,0.12508378628347966,37.74224870307447
Mbeu Ward,Tigania West Sub County,MERU,0.0529992314421673,37.82155135461311
Thangatha Ward,Tigania East Sub County,MERU,0.09063986353261352,37.92075253374129
Mikinduri Ward,Tigania East Sub County,MERU,0.08440887563285704,37.85780057782813
Kiguchwa Ward,Tigania East Sub County,MERU,0.17349293545620662,37.85883052767696
Muthara Ward,Tigania East Sub County,MERU,0.3481776343324569,37.701360314340285
Karama Ward,Tigania East Sub County,MERU,0.33352610534274857,37.76717961610953
Municipality Ward,Imenti North Sub County,MERU,0.0569491590234697,37.63976549455636
Ntima east Ward,Imenti North Sub County,MERU,0.035143641113597794,37.671840284804844
Ntima west Ward,Imenti North Sub County,MERU,0.07575185448337626,37.65247700752576
Nyaki west Ward,Imenti North Sub County,MERU,0.08327244668990591,37.67628594771088
Nyaki east Ward,Imenti North Sub County,MERU,0.03332342218001966,37.76943511067478
Timau Ward,Buuri Sub County,MERU,0.02281370699179698,37.19157165314015
Kisima Ward,Buuri Sub County,MERU,0.14774124416653564,37.39399258847891
Kiirua Naari Ward,Buuri Sub County,MERU,0.16250794715877834,37.56428612739353
Ruiru Rwawera Ward,Buuri Sub County,MERU,0.20789913313602676,37.604486141298544
Mwangathia Ward,Imenti Central Sub County,MERU,-0.02977473515172858,37.76404982688891
Abothuguchi central Ward,Imenti Central Sub County,MERU,-0.024477008993934856,37.68067825829627
Abothuguchi west Ward,Imenti Central Sub County,MERU,-0.016804396965489726,37.46868190956418
Kiagu Ward,Imenti Central Sub County,MERU,-0.06671280530756425,37.82000655500032
Kibirichia Ward,Buuri Sub County,MERU,0.12820031485127292,37.52472852535593
Mitunguu Ward,Imenti South Sub County,MERU,-0.11688914237812885,37.781023017681164
Igoji east Ward,Imenti South Sub County,MERU,-0.17623368245702264,37.699313789031315
Igoji west Ward,Imenti South Sub County,MERU,-0.1783387268958076,37.62111030082364
Abogeta east Ward,Imenti South Sub County,MERU,-0.12603116452749458,37.70680216407079
Abogeta west Ward,Imenti South Sub County,MERU,-0.125052510073723,37.508110593325085
Nkuene Ward,Imenti South Sub County,MERU,-0.050779830852098966,37.33665540210719
Mitheru Ward,Muthambi Sub County,THARAKA-NITHI,-0.2987391753618413,37.67902265349121
Muthambi Ward,Muthambi Sub County,THARAKA-NITHI,-0.28244249443551217,37.70550831868937
Mwimbi Ward,Mwimbi Sub County,THARAKA-NITHI,-0.22196008431982095,37.759634232052555
Namwela Ward,Sirisia Sub County,Bungoma,0.7526755599460817,34.54327565593434
