ward,subcounty,county,latitude,longitude
Mfangano Island Ward,Mbita Sub County,Homa Bay,-0.4641986369743738,34.015475557881814
Rusinga Island Ward,Mbita Sub County,Homa Bay,-0.40422122492447504,34.174646073694525
Kasgunga Ward,Mbita Sub County,Homa Bay,-0.4709180186887339,34.22873140759316
Chavakali Ward,Sabatia Sub County,Vihiga,0.11059087429922934,34.71463241353809
Busali Ward,Sabatia Sub County,Vihiga,0.13912978798952033,34.79774919257519
Shiru Ward,Hamisi Sub County,Vihiga,0.1647296476347767,34.88001221884817
Gisambai Ward,Hamisi Sub County,Vihiga,0.05463050210465621,34.76856197466933
Muhudu Ward,Hamisi Sub County,Vihiga,0.15657687879845605,34.83554782443114
Tambua Ward,Hamisi Sub County,Vihiga,0.019213243775969772,34.77897038712877
Jepkoyai Ward,Hamisi Sub County,Vihiga,0.02025565492101789,34.73774144746241
Luanda South Ward,Luanda Sub County,Vihiga,-0.013341107238263615,34.56943588331548
North East Bunyore Ward,Emuhaya Sub County,Vihiga,0.09800868963708455,34.652656453965164
Banja Ward,Hamisi Sub County,Vihiga,0.057550079739519915,34.822003762502305
South Maragoli Ward,Vihiga Sub County,Vihiga,0.0018948546839551508,34.69115674408352
Shamakhokho Ward,Hamisi Sub County,Vihiga,0.0975995453331918,34.83365844703774
Cheptais Ward,Cheptais Sub County,Bungoma,0.8326666019530777,34.44767788357967
Kakateny Ward,Cheptais Sub County,Bungoma,0.8110624284935732,34.59308192961259
Kaptama Ward,Mt Elgon Sub County,Bungoma,0.9626751796169534,34.6085744467736
Malakisi/south Kulisiru Ward,Sirisia Sub County,Bungoma,0.7237574750853359,34.4857141239632
Lwandanyi Ward,Sirisia Sub County,Bungoma,0.756359049872788,34.42861778985547
West Nalondo Ward,Kabuchai Sub County,Bungoma,0.62951092583791,34.57731798001355
Mukuyuni Ward,Kabuchai Sub County,Bungoma,0.7589265213731338,34.62064664738154
Kabula  Ward,Bumula Sub County,Bungoma,0.4805074973333932,34.52442073952979
Kimaeti Ward,Bumula Sub County,Bungoma,0.603413542388313,34.40527112036353
Siboti Ward,Bumula Sub County,Bungoma,0.6489791090705691,34.466197461139735
Bukembe West Ward,Kanduyi Sub County,Bungoma,0.5777946177403704,34.60714781493965
Bukembe East Ward,Kanduyi Sub County,Bungoma,0.5796123556988717,34.661045261697744
Bokoli Ward,Webuye West Sub County,Bungoma,0.6758533937525176,34.6761544725754
Kibingei Ward,Kimilili Sub County,Bungoma,0.7759385049141216,34.67991008049235
Kimilili Ward,Kimilili Sub County,Bungoma,0.7511326502315138,34.72937210991035
Maeni Ward,Kimilili Sub County,Bungoma,0.8031009788484959,34.74813202377518
Kamukuywa Ward,Kimilili Sub County,Bungoma,0.8013528696947088,34.788402610487054
Mbakalo Ward,Tongaren Sub County,Bungoma,0.708229161390558,34.85832129624609
Naitiri/kabuyefwe Ward,Tongaren Sub County,Bungoma,0.7646759573660257,34.903640201684375
Milima Ward,Tongaren Sub County,Bungoma,0.7744221887859603,34.84557534908877
Ndalu/ Tabani Ward,Tongaren Sub County,Bungoma,0.8492717237578312,34.97785419331591
Tongaren Ward,Tongaren Sub County,Bungoma,0.7925480341923834,34.96066880673886
Soysambu/ Mitua Ward,Tongaren Sub County,Bungoma,0.7809173021560439,35.02752437618344
Mautuma Ward,Lugari Sub County,Kakamega,0.7191406136866749,35.00476621701181
Lugari Ward,Lugari Sub County,Kakamega,0.6758670759997998,34.92605807401865
Lumakanda Ward,Lugari Sub County,Kakamega,0.6443157864278864,34.99060649022243
Chekalini Ward,Lugari Sub County,Kakamega,0.6233922349228571,34.90468151590029
Chevaywa Ward,Lugari Sub County,Kakamega,0.527541209008541,34.76001919578494
Lwandeti Ward,Lugari Sub County,Kakamega,0.6063589760869997,34.845794703372555
Likuyani Ward,Likuyani Sub County,Kakamega,0.6795647979248819,35.10556526864116
Sango Ward,Likuyani Sub County,Kakamega,0.7338628437058106,35.07687495434501
Kongoni Ward,Likuyani Sub County,Kakamega,0.7742797751198787,35.12645551812733
Nzoia Ward,Likuyani Sub County,Kakamega,0.8235300583739228,35.073909774898944
Sinoko Ward,Likuyani Sub County,Kakamega,0.8680953138377462,35.06622354758454
West Kabras Ward,Malava Sub County,Kakamega,0.4149700098020033,34.755590851398125
Chemuche Ward,Malava Sub County,Kakamega,0.43674470020923306,34.88399599069817
East Kabras Ward,Malava Sub County,Kakamega,0.39797877948101257,34.902809041953326
Butali Chegulo Ward,Malava Sub County,Kakamega,0.4954076956948974,34.81823814803452
Manda-shivanga Ward,Malava Sub County,Kakamega,0.5321573277964878,34.861105062957115
