Ward,Latitude,Longitude,Irradiance_kWh/m2/day,Ambient_Temperature_C
SOLOLO,3.5536707722742205,38.68619331134981,5.16,26.0
HEILLU/MANYATTA,3.4989016633933256,39.11191262651983,5.15,24.6
GOLBO,3.182384151054849,39.13504508623453,5.2,26.4
NORTH HORR,3.49482142939395,36.8052200454205,6.32,29.3
ILLERET,4.1074231995458845,36.44643459953971,5.91,30.6
SAGANTE/JALDESA,2.349909738450843,38.06571790645967,5.73,22.5
Matayos South Ward,0.3646041099929759,34.19002797249936,6.08,22.4
Busibwabo Ward,0.4182636634507721,34.20507174835802,6.09,22.4
Burumba Ward,0.4517200116499831,34.113984343685566,6.01,22.1
LAISAMIS,1.5972507979979786,37.92624480160063,6.2,27.5
Maua Ward,0.2412459656065922,37.94854561365705,5.86,16.8
Kiegoi/antubochiu Ward,0.2250336812397949,37.92089349456474,5.67,16.1
Athiru gaiti Ward,0.2054617925865741,38.01248856544736,5.58,22.5
Akachiu Ward,0.1436455841501144,37.94326477109074,5.34,19.7
Kanuni Ward,0.1428083945305214,37.99458488440431,5.52,22.3
Akirang'ondu Ward,0.3327017303159139,37.8852589864458,6.29,18.4
Athiru ruujine Ward,0.1216398788726628,38.18402437477428,5.79,24.9
Kiengu/Igembe East ward,0.2498885956883166,38.02316735712824,5.76,22.6
Njia Ward,0.4111804288029557,37.79660028432045,6.16,22.9
Kangeta Ward,0.3290884730285665,37.8109658700527,6.22,21.3
Antuambui Ward,0.4612470432671088,37.8883382993649,6.22,23.2
Ntunene Ward,0.4395285431323506,37.83659150051405,6.13,23.1
Antubetwe kiongo Ward,0.336975692584798,38.075173447076,5.87,22.6
Naathu Ward,0.5125366309773967,37.95483498265816,6.39,23.8
Amwathi Ward,0.485263740960271,38.05624104081826,6.56,20.4
Athwana Ward,0.3188041785617946,37.653861670752605,6.37,22.6
Akithii Ward,0.1967897050264923,37.74255089324158,6.4,19.5
Kianjai Ward,0.2005521915392159,37.69076659786664,6.42,20.0
Nkomo Ward,0.1250837862834796,37.74224870307447,6.1,18.0
Mbeu Ward,0.0529992314421673,37.82155135461311,5.82,20.4
Thangatha Ward,0.0906398635326135,37.92075253374129,5.52,22.6
Mikinduri Ward,0.084408875632857,37.85780057782813,5.7,20.8
Kiguchwa Ward,0.1734929354562066,37.85883052767696,5.73,15.1
Muthara Ward,0.3481776343324569,37.701360314340285,6.32,22.7
Karama Ward,0.3335261053427485,37.76717961610953,6.28,20.8
Municipality Ward,0.0569491590234697,37.63976549455636,5.59,16.1
Ntima east Ward,0.0351436411135977,37.67184028480485,5.58,17.4
Ntima west Ward,0.0757518544833762,37.65247700752576,5.73,17.3
Nyaki west Ward,0.0832724466899059,37.67628594771088,5.8,18.4
